created_at,order_number,item_type,item_id,item_name,base_price,final_price,quantity,validated_quantity,validated_return_quantity,final_quantity,subtotal_price,warranty,status,sku,erp_product_id,service_type,service_location_name,price_finalized_by_name,vehicle_license_plate,odometer
"Sep 30, 2025, 22:42",WO-145519002699979284,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,2,0,0,2,0,NOT_COVERED,APPLIED,GEN-F0130-001-N-NE,"1,075",STORING,Pondok Indah,Eka Pitaloka,B 4516 SVT,"43,431"
"Sep 30, 2025, 22:37",WO-145470785568397844,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0130-001-N-NE,"1,075",STORING,Pondok Indah,Service Advisor PI,B 4052 SWB,"23,647"
"Sep 30, 2025, 22:32",WO-145510391860977232,SPAREPART,79e0bbc0-0b87-4142-8e3f-0b3ccdc86641,Brake Pad Kit H5 -2-01 (Canvas Rem) H5,"28,500",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F1140-001-R-NE,"1,759",STORING,Pondok Indah,Eka Pitaloka,B 5235 SVL,"52,756"
"Sep 30, 2025, 22:32",WO-145510391860977232,SPAREPART,fa116921-3f09-44e1-b709-86b1780d9253,Brake Pad Kit H5 -1-01 (Canvas Rem) H5,"39,500",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F1130-001-F-NE,"1,758",STORING,Pondok Indah,Eka Pitaloka,B 5235 SVL,"52,756"
"Sep 30, 2025, 21:47",WO-145521459823926864,SPAREPART,ec86c430-e74c-451d-8d93-6d47384acc17,Tire 90/90-12 H3 (KENDA) H3,"135,796",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0500-001-N-MA,"1,741",STORING,Pondok Indah,Service Advisor PI,B 4380 SVT,"43,443"
"Sep 30, 2025, 21:47",WO-145521459823926864,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,2,0,0,2,0,NOT_COVERED,APPLIED,GEN-F0130-001-N-NE,"1,075",STORING,Pondok Indah,Service Advisor PI,B 4380 SVT,"43,443"
"Sep 30, 2025, 21:31",WO-145510211539459664,SPAREPART,9ae448db-156e-4e8b-8980-6f520521c921,Speed control handle cable H3,"16,169",0,1,0,0,1,0,NOT_COVERED,APPLIED,H3A-E70090-001-N-BL,857,STORING,Pondok Indah,Service Advisor PI,B 4857 SVS,"23,423"
"Sep 30, 2025, 20:33",WO-145471586445581904,SPAREPART,fa116921-3f09-44e1-b709-86b1780d9253,Brake Pad Kit H5 -1-01 (Canvas Rem) H5,"39,500",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F1130-001-F-NE,"1,758",STORING,Pondok Indah,Service Advisor PI,B 4062 SVO,"46,347"
"Sep 30, 2025, 20:33",WO-145471586445581904,SPAREPART,79e0bbc0-0b87-4142-8e3f-0b3ccdc86641,Brake Pad Kit H5 -2-01 (Canvas Rem) H5,"28,500",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F1140-001-R-NE,"1,759",STORING,Pondok Indah,Service Advisor PI,B 4062 SVO,"46,347"
"Sep 30, 2025, 20:33",WO-145475201381980692,SPAREPART,ec86c430-e74c-451d-8d93-6d47384acc17,Tire 90/90-12 H3 (KENDA) H3,"100,000","100,000",1,0,0,1,"100,000",NOT_COVERED,APPLIED,GEN-F0500-001-N-MA,"1,741",INTERNAL_SERVICE,Pondok Indah,Gerald Raditya,B 4236 SWA,"16,782"
